// ['CORPSX', 'CORPSY', 'MSTRNG', 'SWAP', 'ARRIVE', 'CORPT', 'CORPNO']
[
    [0, 0, 0, 0, 255, 0, 0],
    [40, 20, 203, 126, 0, 3, 24],
    [40, 19, 205, 126, 255, 3, 39],
    [40, 18, 192, 126, 0, 3, 46],
    [40, 17, 199, 126, 0, 3, 47],
    [40, 16, 184, 126, 0, 3, 57],
    [41, 20, 136, 125, 0, 0, 5],
    [40, 19, 127, 125, 0, 0, 6],
    [41, 18, 150, 125, 0, 0, 7],
    [41, 17, 129, 125, 0, 0, 8],
    [41, 16, 136, 125, 0, 0, 9],
    [42, 20, 109, 125, 255, 0, 12],
    [42, 19, 72, 125, 255, 0, 13],
    [42, 18, 70, 125, 255, 0, 20],
    [42, 17, 81, 125, 255, 0, 42],
    [43, 19, 131, 125, 255, 0, 43],
    [43, 18, 102, 125, 255, 0, 53],
    [43, 17, 53, 125, 255, 64, 3],
    [41, 23, 198, 126, 0, 3, 41],
    [40, 22, 194, 126, 0, 3, 56],
    [40, 21, 129, 125, 0, 0, 1],
    [41, 21, 123, 125, 0, 0, 2],
    [41, 22, 101, 125, 0, 0, 10],
    [42, 22, 104, 125, 0, 0, 26],
    [42, 23, 112, 125, 0, 0, 28],
    [42, 24, 120, 125, 0, 0, 38],
    [40, 15, 202, 126, 0, 3, 3],
    [41, 14, 195, 126, 0, 3, 14],
    [42, 13, 191, 126, 0, 3, 48],
    [41, 15, 72, 126, 255, 3, 52],
    [42, 14, 140, 125, 0, 0, 49],
    [42, 12, 142, 125, 0, 0, 4],
    [43, 13, 119, 125, 0, 0, 17],
    [41, 15, 111, 125, 0, 0, 29],
    [42, 16, 122, 125, 255, 0, 44],
    [43, 16, 77, 125, 255, 0, 55],
    [30, 2, 97, 125, 0, 48, 1],
    [30, 3, 96, 125, 0, 48, 2],
    [31, 4, 92, 125, 0, 48, 4],
    [33, 6, 125, 125, 0, 0, 11],
    [35, 7, 131, 125, 0, 0, 30],
    [37, 8, 106, 125, 0, 0, 54],
    [35, 38, 112, 125, 0, 32, 2],
    [36, 37, 104, 125, 0, 32, 4],
    [36, 38, 101, 125, 255, 32, 6],
    [45, 20, 210, 126, 2, 3, 40],
    [45, 15, 97, 125, 255, 0, 27],
    [38, 8, 98, 126, 2, 83, 1],
    [45, 16, 95, 125, 5, 0, 23],
    [31, 1, 52, 125, 6, 48, 5],
    [45, 20, 98, 125, 9, 0, 34],
    [45, 19, 96, 125, 10, 0, 35],
    [32, 1, 55, 125, 11, 64, 4],
    [45, 17, 104, 125, 20, 0, 51],
    [45, 18, 101, 126, 24, 7, 50],
    [29, 32, 100, 253, 4, 4, 7],
    [27, 31, 103, 253, 5, 4, 11],
    [24, 38, 110, 253, 7, 0, 41],
    [23, 38, 101, 253, 9, 0, 42],
    [20, 38, 92, 253, 11, 0, 43],
    [15, 38, 103, 253, 13, 0, 44],
    [0, 20, 105, 253, 7, 0, 45],
    [0, 8, 107, 253, 12, 0, 46],
    [0, 18, 111, 253, 8, 0, 47],
    [0, 10, 88, 253, 10, 0, 48],
    [0, 14, 117, 254, 10, 1, 9],
    [0, 33, 84, 254, 14, 1, 13],
    [0, 11, 109, 254, 15, 1, 14],
    [0, 15, 89, 254, 16, 1, 15],
    [0, 20, 105, 254, 18, 1, 16],
    [0, 10, 93, 254, 7, 2, 7],
    [21, 28, 62, 254, 0, 1, 2],
    [21, 27, 104, 253, 0, 0, 19],
    [30, 14, 101, 253, 0, 0, 18],
    [30, 13, 67, 254, 0, 2, 1],
    [39, 28, 104, 253, 0, 0, 27],
    [38, 28, 84, 254, 0, 1, 10],
    [23, 31, 127, 253, 0, 0, 22],
    [19, 24, 112, 253, 0, 0, 21],
    [34, 22, 111, 253, 0, 0, 13],
    [34, 21, 91, 254, 0, 1, 6],
    [31, 34, 79, 253, 0, 4, 9],
    [27, 6, 69, 253, 0, 0, 2],
    [33, 37, 108, 253, 0, 4, 1],
    [41, 24, 118, 253, 0, 0, 8],
    [40, 23, 137, 253, 0, 0, 11],
    [39, 23, 70, 254, 0, 1, 1],
    [42, 25, 85, 254, 0, 1, 7],
    [39, 20, 130, 253, 0, 0, 3],
    [39, 22, 91, 253, 0, 0, 4],
    [39, 18, 131, 253, 0, 0, 10],
    [39, 17, 71, 254, 0, 1, 5],
    [39, 21, 86, 254, 0, 1, 8],
    [37, 20, 75, 254, 0, 2, 3],
    [39, 19, 90, 254, 0, 2, 6],
    [39, 16, 123, 253, 0, 0, 5],
    [39, 15, 124, 253, 0, 0, 6],
    [40, 14, 151, 253, 0, 0, 12],
    [41, 13, 128, 253, 0, 0, 26],
    [41, 12, 88, 254, 0, 1, 3],
    [39, 11, 77, 254, 0, 1, 4],
    [36, 9, 79, 254, 0, 1, 11],
    [34, 8, 80, 254, 0, 2, 5],
    [32, 6, 126, 253, 0, 0, 9],
    [35, 9, 79, 254, 0, 1, 12],
    [30, 4, 91, 254, 0, 2, 4],
    [28, 2, 84, 254, 0, 2, 2],
    [25, 6, 72, 253, 1, 0, 7],
    [29, 14, 86, 253, 1, 4, 2],
    [32, 22, 76, 253, 1, 0, 14],
    [33, 36, 99, 253, 1, 4, 4],
    [26, 23, 67, 253, 1, 0, 15],
